job_id,skill_abr
3884444096,ENG
3887714339,HR
3887701065,SALE
3887701065,BD
3887715456,MRKT
3887715456,ADVR
3884438518,IT
3887496533,PRJM
3887496533,IT
3884435469,IT
3887714458,IT
3887714458,MGMT
3884437020,FIN
3884437020,SALE
3884437356,ENG
3884437356,IT
3884927323,DSGN
3884927323,ART
3884927323,IT
3884918928,PRCH
3884918928,SUPL
3884913421,PRJM
3884913421,IT
3884438563,IT
3887714337,OTHR
3884927665,ENG
3884927665,IT
3884915168,IT
3887499527,SALE
3887499527,BD
3884431726,IT
3887700479,SALE
3887700479,BD
3884926555,MRKT
3884926555,SALE
3887716855,IT
3887716855,ENG
3887716855,OTHR
3887709931,ANLS
3887709931,BD
3887709931,IT
3887499801,IT
3884933716,HCPR
3887492930,MRKT
3887492930,PR
3887492930,WRT
3887712237,IT
3884432826,OTHR
3884434338,WRT
3884440937,RSCH
3884440937,ENG
3887711690,RSCH
3887711690,ANLS
3887711690,IT
3884929674,DSGN
3884929674,ART
3884929674,IT
3884448112,SALE
3884448112,BD
3887716462,ENG
3887716462,IT
3884440675,SALE
3884441796,CNSL
3884441796,SALE
3884441796,BD
3884442003,PRJM
3884442003,IT
3884437703,ADM
3887702026,SALE
3887702026,BD
3887704925,IT
3884434318,IT
3887492692,ENG
3887492692,IT
3884440312,IT
3887489705,SALE
3887489705,BD
3887499921,SALE
3887499921,BD
3884441297,IT
3884919514,ENG
3884919514,IT
3884442156,ENG
3884442156,IT
3887700480,SALE
3887700480,BD
3887701057,SALE
3887701057,BD
3887701059,SALE
3887701059,BD
3884430684,HCPR
3887712539,BD
3887712539,SALE
3887496610,SALE
3887496610,BD
3884939241,IT
3887497612,OTHR
3887710955,ENG
3887710955,IT
3887497608,SALE
3887497608,BD
3884921208,ENG
3884921208,IT
3884437017,FIN
3884437017,SALE
3884425580,PRDM
3884425580,IT
3887496884,IT
3884930578,ENG
3884930578,IT
3887700478,SALE
3887700478,BD
3884936121,RSCH
3884936121,ANLS
3884936121,IT
3887490958,RSCH
3887490958,ANLS
3887490958,IT
3884804017,SALE
3884804017,BD
3887718027,SALE
3887718027,BD
3884922919,ACCT
3884922919,FIN
3884442457,PRJM
3884442457,IT
3884446075,MRKT
3887499521,SALE
3887499521,BD
3884440455,RSCH
3884440455,ANLS
3884440455,IT
3887499530,MGMT
3887499530,MNFC
3884443817,HR
3884436996,ENG
3884436996,IT
3884440505,IT
3884446482,IT
3887713606,IT
3887496596,SALE
3887496596,BD
3887498586,SALE
3887498586,BD
3884497787,IT
3884939464,IT
3884923969,BD
3884923969,SALE
3884989903,PRJM
3884989903,IT
3884989903,PRDM
3884992250,BD
3884992250,IT
3887496592,SALE
3887496592,BD
3884443757,CNSL
3884992282,CNSL
3884992282,IT
3884992282,ENG
3884447051,BD
3884447051,SALE
3887714313,PRJM
3887714313,MGMT
3884994017,OTHR
3884994017,MNFC
3884934115,ENG
3884934115,IT
3884990787,IT
3884990787,CNSL
3884990787,ENG
3887723918,IT
3887723918,CNSL
3887723918,PRJM
3884934463,IT
3884934668,CNSL
3884934668,IT
3884438958,IT
3887499529,SALE
3887499529,BD
3887724269,ADM
3884439781,MRKT
3884991630,ART
3884991630,DSGN
3884927954,ENG
3884927954,IT
3884433381,IT
3884433381,ENG
3884433400,SALE
3884433400,BD
3884433956,PRJM
3884433956,IT
3884990792,PRJM
3884990792,MGMT
3884990792,PRDM
3887715509,HCPR
3887499524,SALE
3887499524,BD
3884936289,MRKT
3887712929,FIN
3887712929,SALE
3884437682,IT
3887717730,CUST
3887717730,IT
3887717730,MGMT
3887488394,WRT
3887700477,SALE
3887700477,BD
3884448131,DSGN
3884448131,ART
3884448131,IT
3884917816,ENG
3884917816,IT
3884990768,IT
3884990768,CNSL
3884990768,ENG
3887497599,SALE
3887497599,BD
3884806427,BD
3884806427,SALE
3887718042,ADM
3887499420,MRKT
3884927660,ENG
3884927660,IT
3887497594,SALE
3887497594,BD
3884992269,IT
3884992269,CNSL
3884992269,ENG
3884934254,SALE
3884934254,BD
3884988997,MNFC
3884988997,OTHR
3884995003,MGMT
3884995003,DIST
3884995003,SUPL
3887711707,SALE
3887711707,BD
3887498583,SALE
3887498583,BD
3884442367,ENG
3884442367,IT
3885389087,IT
3887704073,IT
3884994069,PRJM
3884994069,IT
3884994069,PRDM
3884916910,IT
3887701070,MGMT
3887701070,MNFC
3884987994,FIN
3884987994,IT
3884987994,ACCT
3884915222,PRJM
3884915222,IT
3884923053,DSGN
3884923053,ART
3884923053,IT
3884440922,SALE
3884440922,BD
3884935814,IT
3887702035,SALE
3887702035,BD
3887499523,SALE
3887499523,BD
3884990773,BD
3884990773,IT
3884989892,IT
3884989892,CNSL
3884989892,ENG
3884438770,MRKT
3884438770,SALE
3887495748,SALE
3887495748,BD
3887702422,IT
3887701069,SALE
3887701069,BD
3884928295,ENG
3884928295,IT
3884989877,IT
3884989877,ENG
3884995055,PRJM
3884995055,MGMT
3884995055,PRDM
3884438693,PRJM
3884438693,IT
3884935342,MRKT
3884935342,SALE
3884914943,IT
3884439547,IT
3884445938,IT
3884445938,ENG
3887495742,SALE
3887495742,BD
3884929975,PRJM
3884929975,IT
3887713414,SALE
3887713414,CNSL
3887713414,IT
3884441051,SALE
3884441051,BD
3884439251,ENG
3884439251,IT
3884995013,GENB
3884995013,MGMT
3884995013,STRA
3884994040,FIN
3884994040,IT
3884994040,ACCT
3887496605,OTHR
3884991621,PRJM
3884991621,MGMT
3884991621,PRDM
3884989883,IT
3884989883,ENG
3884994027,IT
3884994027,CNSL
3884994027,ENG
3887706972,ENG
3887706972,IT
3884991614,OTHR
3884991614,MNFC
3884443637,IT
3887709891,OTHR
3884442452,PRJM
3884442452,IT
3884442202,ENG
3884442202,IT
3887701067,DSGN
3887701067,ART
3887701067,IT
3887701061,OTHR
3887717971,IT
3884436756,HCPR
3884994015,PRJM
3884994015,IT
3884994015,PRDM
3887709530,LGL
3887712055,IT
3887712055,ENG
3884992266,IT
3884992266,CNSL
3884992266,ENG
3884439780,SALE
3884439345,ENG
3884437026,FIN
3884437026,SALE
3887714928,OTHR
3884993240,IT
3884993240,CUST
3884991610,ADM
3884992264,MNFC
3884992264,OTHR
3884996001,ENG
3884996001,IT
3884913824,PRDM
3884913824,MRKT
3884441553,IT
3887710362,IT
3887716794,ENG
3887716794,IT
3884992279,IT
3884992279,CNSL
3884992279,ENG
3887713580,OTHR
3884805632,ENG
3884805632,IT
3884989873,MNFC
3884989873,OTHR
3884921213,MGMT
3884921213,MNFC
3884437416,IT
3884444407,ENG
3884444407,IT
3884993199,IT
3884993199,CNSL
3884993199,ENG
3884991642,PRJM
3884991642,MGMT
3884991642,PRDM
3887836962,DSGN
3887836962,ART
3887836962,IT
3884433628,FIN
3884433628,SALE
3884440628,PRJM
3884440628,ENG
3884434304,ACCT
3887721081,QA
3887718366,IT
3887718366,ENG
3887705922,STRA
3887705922,ENG
3887705922,PRJM
3884996008,MGMT
3884996008,DIST
3884996008,SUPL
3884913504,IT
3884913504,ENG
3884913504,CNSL
3884996356,IT
3884996356,CNSL
3884996356,ENG
3884990770,IT
3884990770,CNSL
3884990770,ENG
3887711392,IT
3884942462,ENG
3884942462,IT
3884993218,PRJM
3884993218,MGMT
3884993218,PRDM
3884801777,IT
3884801777,QA
3884993188,BD
3884993188,IT
3884809127,OTHR
3884809127,ENG
3884992280,PRJM
3884992280,MGMT
3884992280,PRDM
3887833834,IT
3887712954,BD
3887712954,SALE
3884449122,IT
3887713726,ENG
3887713726,IT
3887707892,ENG
3887707892,IT
3884444113,SALE
3884444528,MGMT
3884444528,MNFC
3887724450,IT
3884992285,IT
3884992285,CNSL
3884992285,ENG
3884923225,IT
3884430966,OTHR
3884442853,IT
3887838645,OTHR
3884443818,HR
3884433926,IT
3884431437,ENG
3884431437,IT
3884443702,OTHR
3887495752,SALE
3887495752,BD
3884990762,WRT
3884439805,QA
3884992258,MNFC
3884992258,OTHR
3884805078,IT
3884805078,ENG
3884915225,FIN
3884915225,SALE
3884913950,QA
3887483831,DSGN
3887483831,IT
3887483831,OTHR
3884437155,IT
3884804976,ANLS
3884804976,IT
3884804976,PRJM
3887711457,OTHR
3884990783,TRNG
3884990783,HR
3887701098,SALE
3887701098,BD
3887700475,SALE
3887700475,BD
3887715840,IT
3884441127,QA
3884497780,ANLS
3884497780,DSGN
3884497780,STRA
3884431808,MGMT
3884993220,STRA
3884993220,ANLS
3884993220,IT
3884439419,IT
3884437364,CNSL
3884437364,MGMT
3884437364,STRA
3884998112,IT
3884998112,CNSL
3884998112,ENG
3884933608,IT
3887495362,BD
3887495362,SALE
3884937565,OTHR
3884989864,IT
3884989864,CNSL
3884989864,ENG
3887704887,CNSL
3887701068,SALE
3887701068,BD
3884996017,IT
3884996017,CNSL
3884996017,ENG
3884995022,IT
3884995022,CNSL
3884995022,ENG
3884810167,MRKT
3884990789,TRNG
3884990789,HR
3884432524,ENG
3884432524,IT
3884437640,IT
3884437640,ENG
3884442659,ENG
3884442659,IT
3884447606,FIN
3884447606,ACCT
3884920255,ENG
3884920255,IT
