job_id,industry_id,industry_name
3884431567,96,IT Services and IT Consulting
3884916106,96,IT Services and IT Consulting
3884916106,4,Software Development
3884431568,96,IT Services and IT Consulting
3861704803,96,IT Services and IT Consulting
3884915204,3231,Information Technology & Services
3884915161,96,IT Services and IT Consulting
3884915161,4,Software Development
3887466995,96,IT Services and IT Consulting
3887466954,4,Software Development
3884427990,96,IT Services and IT Consulting
3887467990,96,IT Services and IT Consulting
3884432470,4,Software Development
3884435023,96,IT Services and IT Consulting
3884433291,96,IT Services and IT Consulting
3887474296,96,IT Services and IT Consulting
3884430585,96,IT Services and IT Consulting
3884435060,3231,Information Technology & Services
3884915296,96,IT Services and IT Consulting
3887475133,96,IT Services and IT Consulting
3884912496,3231,Information Technology & Services
3884436034,96,IT Services and IT Consulting
3884430259,96,IT Services and IT Consulting
3884915359,96,IT Services and IT Consulting
3887474295,96,IT Services and IT Consulting
3884430586,96,IT Services and IT Consulting
3884432517,96,IT Services and IT Consulting
3884432522,96,IT Services and IT Consulting
3884911951,96,IT Services and IT Consulting
3884429682,4,Software Development
3887469989,96,IT Services and IT Consulting
3884429660,96,IT Services and IT Consulting
3884430634,96,IT Services and IT Consulting
3884910917,96,IT Services and IT Consulting
3887468932,4,Software Development
3887473578,96,IT Services and IT Consulting
3884435132,96,IT Services and IT Consulting
3884917019,96,IT Services and IT Consulting
3887472568,4,Software Development
3884912457,96,IT Services and IT Consulting
3884432572,96,IT Services and IT Consulting
3887472931,118,Computer and Network Security
3884911755,96,IT Services and IT Consulting
3884912652,96,IT Services and IT Consulting
3884435086,96,IT Services and IT Consulting
3884435040,96,IT Services and IT Consulting
3887475425,4,Software Development
3884436115,96,IT Services and IT Consulting
3800272386,96,IT Services and IT Consulting
3884435032,96,IT Services and IT Consulting
3884431687,96,IT Services and IT Consulting
3884913634,96,IT Services and IT Consulting
3884913634,118,Computer and Network Security
3884435178,96,IT Services and IT Consulting
3884913418,96,IT Services and IT Consulting
3884431580,4,Software Development
3884916081,96,IT Services and IT Consulting
3884433366,96,IT Services and IT Consulting
3884429722,96,IT Services and IT Consulting
3884436108,96,IT Services and IT Consulting
3887478013,96,IT Services and IT Consulting
3887480763,4,Software Development
3884913532,96,IT Services and IT Consulting
3887468619,3231,Information Technology & Services
3884432497,96,IT Services and IT Consulting
3884432560,4,Software Development
3884434047,4,Software Development
3884912900,96,IT Services and IT Consulting
3884916088,96,IT Services and IT Consulting
3884433363,96,IT Services and IT Consulting
3884916089,96,IT Services and IT Consulting
3884917043,96,IT Services and IT Consulting
3884910914,96,IT Services and IT Consulting
3887480120,96,IT Services and IT Consulting
3884913338,96,IT Services and IT Consulting
3884430601,96,IT Services and IT Consulting
3887488260,96,IT Services and IT Consulting
3887475125,118,Computer and Network Security
3884434160,96,IT Services and IT Consulting
3884431673,96,IT Services and IT Consulting
3884433362,4,Software Development
3827945924,96,IT Services and IT Consulting
3884917018,96,IT Services and IT Consulting
3884430616,96,IT Services and IT Consulting
3884915227,96,IT Services and IT Consulting
3610032286,4,Software Development
3884914341,96,IT Services and IT Consulting
3887482515,96,IT Services and IT Consulting
3887478002,4,Software Development
3884919140,4,Software Development
3887471687,4,Software Development
3884919162,96,IT Services and IT Consulting
3884430735,96,IT Services and IT Consulting
3884915616,96,IT Services and IT Consulting
3884429864,96,IT Services and IT Consulting
3884429902,118,Computer and Network Security
3887495750,96,IT Services and IT Consulting
3887475259,4,Software Development
3884431599,4,Software Development
3884915452,96,IT Services and IT Consulting
3887482785,4,Software Development
3884431792,96,IT Services and IT Consulting
3884433638,96,IT Services and IT Consulting
3884438226,96,IT Services and IT Consulting
3884436679,96,IT Services and IT Consulting
3884920256,96,IT Services and IT Consulting
3884433559,96,IT Services and IT Consulting
3884429764,96,IT Services and IT Consulting
3884433459,96,IT Services and IT Consulting
3884429763,96,IT Services and IT Consulting
3884927198,96,IT Services and IT Consulting
3884923050,96,IT Services and IT Consulting
3884432534,3102,IT System Custom Software Development
3884437275,96,IT Services and IT Consulting
3884430801,96,IT Services and IT Consulting
3884920383,4,Software Development
3887496578,96,IT Services and IT Consulting
3887496578,4,Software Development
3884923055,96,IT Services and IT Consulting
3887475434,4,Software Development
3884434319,96,IT Services and IT Consulting
3887499095,4,Software Development
3884431973,96,IT Services and IT Consulting
3884436739,96,IT Services and IT Consulting
3884432548,4,Software Development
3884914252,96,IT Services and IT Consulting
3884922063,96,IT Services and IT Consulting
3887473170,4,Software Development
3884435777,96,IT Services and IT Consulting
3884920250,96,IT Services and IT Consulting
3884435199,96,IT Services and IT Consulting
3887496603,96,IT Services and IT Consulting
3884438208,4,Software Development
3884435224,96,IT Services and IT Consulting
3884918413,3231,Information Technology & Services
3884931187,3104,IT System Installation and Disposal
3887701048,96,IT Services and IT Consulting
3887497601,96,IT Services and IT Consulting
3846426461,96,IT Services and IT Consulting
3884924079,118,Computer and Network Security
3887496600,96,IT Services and IT Consulting
3887701056,96,IT Services and IT Consulting
3887499553,96,IT Services and IT Consulting
3887488802,4,Software Development
3887495746,96,IT Services and IT Consulting
3884911741,96,IT Services and IT Consulting
3884435471,96,IT Services and IT Consulting
3884925499,96,IT Services and IT Consulting
3887496971,4,Software Development
3884904765,96,IT Services and IT Consulting
3884440143,96,IT Services and IT Consulting
3887497595,96,IT Services and IT Consulting
3887702037,96,IT Services and IT Consulting
3884432578,96,IT Services and IT Consulting
3884435265,96,IT Services and IT Consulting
3887702038,96,IT Services and IT Consulting
3887497591,96,IT Services and IT Consulting
